TablaCore			
X	Y 	TablaCore	
1	1	80	
2	1	90	
3	1	786	
4	1	576	
5	1	4	
1	2	90	
2	2	100	
3	2	796	
4	2	586	
5	2	14	
TablaCore2			
X	Y 	TablaCore2	
1	1	80	
2	1	90	
3	1	786	
4	1	576	
5	1	4	
1	2	90	
2	2	100	
3	2	796	
4	2	586	
5	2	14	
TablaCore3			
ISO	ABS	ORD	Tablacore3
1	1	5	80
2	1	5	90
3	1	5	786
4	1	5	576
5	1	5	4
1	2	5	90
2	2	5	100
3	2	5	796
4	2	5	586
5	2	5	14
1	1	6	80
2	1	6	90
3	1	6	786
4	1	6	576
5	1	6	4
1	2	6	90
2	2	6	100
3	2	6	796
4	2	6	586
5	2	6	14
TablaCore4						
X 	TablaCore4	
1	80	
2	90	
3	786	
4	576	
5	4	
